video_id,comment_thread_id,comment_id,comment_text,author,published_date,like_count,reply_count,parent_id,timestamp,mentions,title
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_v2NG4Pqx,"@@notoriousjelDon’t you think it’s strange that they know about the upcoming terrorist attack 🤦🏾‍♀️they warned not Russia, but their citizens on the website of the U.S. Embassy. Turn on your brain",Dikenvay333,2024-03-29T22:58:22Z,0,2,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-29 22:58:22+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_wHe7t5w-,"Becuase they didn't do it. It's staged and they're alive to show off so people don't believe it's Putin who ordered the attack. Which he did, which he also did in 2000 with the apartment bombings to gain power to be President. History repeats itself and Putin is reading what Nazi Germany did to its own people in order to take more power. Don't be daft.",celebrityrog,2024-03-29T23:09:12Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-29 23:09:12+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_ydFqdZ5Y,"​@@Truthspeakers1589 Украина граничит с Россией. Именно туда и бежали. И мы все знаем, кто замешан. И сна и Британия и Украина",user-fe5bx7so8f,2024-03-29T23:29:46Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1OcQ_pR5vc,2024-03-29 23:29:46+00:00,Truthspeakers1589,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_yeg2yRs2,But Russia and other communism country are mess hold world@@ahassan776,sokhomrous6153,2024-03-29T23:29:57Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1O_XASLDlx,2024-03-29 23:29:57+00:00,ahassan776,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_zJCg_1eM,"This people are dumb, of course they get caught instantly",lillol3245,2024-03-29T23:35:38Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-29 23:35:38+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1a2sOxhiZQ,you are most big mistake,addruslan,2024-03-30T00:15:31Z,0,2,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-30 00:15:31+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1a4No90WT6,@@kskid4life You orcs were warned by US about this and your clown Putin did nothing.,RobertGrzybowski-bb9gf,2024-03-30T00:28:41Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1UoRt1MKE1,2024-03-30 00:28:41+00:00,kskid4life,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1a4WOwy_6U,"And Russia blamed Ukraine while the attack was still ongoing, governments will always try to use such things for their own goals and will rarely say the truth.
Straight out believing a governemnt, especially in war, is just naive.",Khobotov,2024-03-30T00:29:51Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-30 00:29:51+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1a9ZaIrQtm,@@Dikenvay333 you must be high up in the Russian government to be so sure what the US did and didn't do. Grow up.,notoriousjel,2024-03-30T01:13:59Z,0,3,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1_v2NG4Pqx,2024-03-30 01:13:59+00:00,Dikenvay333,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1aA4uQVIq3,@@notoriousjel Then you’re probably holding a high position in the United States to know what your government allegedly did.I don’t need to hold a high position to study history and think logically without believing fake news BBC and CNN,Dikenvay333,2024-03-30T01:18:32Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1a9ZaIrQtm,2024-03-30 01:18:32+00:00,notoriousjel,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
